conversation,creationDate,id,invitedOperator
641,2002-05-26,644,930
994,2002-10-10,1000,29
952,1970-05-22,854,820
97,2005-07-04,568,851
726,2020-10-03,62,415
294,1978-12-17,591,839
499,2011-02-25,325,530
320,1996-02-04,77,906
965,2017-08-15,654,495
878,1995-02-10,622,625
189,1997-11-08,615,767
883,2023-12-12,749,140
779,1977-11-28,751,240
101,2003-08-27,729,717
785,2000-12-06,373,718
810,2012-06-06,154,746
413,1997-05-03,522,20
465,2016-09-15,392,832
973,1982-09-25,732,909
394,1981-12-02,641,637
619,1981-03-28,831,219
34,2022-10-18,452,266
186,2017-06-22,521,355
206,1992-02-22,751,139
813,2001-11-02,81,811
66,1973-10-03,857,99
203,2017-02-07,316,58
501,2000-07-15,485,647
233,1975-02-05,853,674
149,2002-07-03,525,294
284,1977-09-04,311,444
362,1992-04-13,999,804
449,1997-01-22,137,785
360,2006-11-11,774,137
291,1994-08-22,615,816
78,1999-12-12,399,41
536,1995-08-02,288,849
989,2000-02-12,814,905
137,2000-02-03,232,926
782,1973-07-08,693,460
900,1996-01-02,507,513
812,2024-04-01,433,57
72,2015-03-26,660,917
58,2000-11-21,33,211
524,1984-02-02,336,108
281,1994-08-21,700,603
181,2014-04-06,59,11
738,2009-03-19,214,124
386,1981-04-25,838,38
12,2019-06-21,238,668
965,2001-06-22,914,843
905,2018-07-09,583,867
121,1987-08-25,781,839
746,1992-12-29,369,395
315,1975-06-01,919,999
925,1993-06-06,596,723
71,1979-10-24,425,540
784,2006-12-16,577,400
503,2004-04-17,882,446
83,1994-12-11,948,346
106,2023-12-23,503,516
767,2014-08-20,162,800
183,1974-10-20,877,493
702,1984-04-26,987,616
373,2005-03-26,748,166
711,1982-09-27,421,326
465,1975-12-01,755,689
800,1970-04-16,869,407
235,1996-11-07,723,295
407,1993-10-13,514,513
365,1989-03-26,659,498
78,1996-05-25,575,946
16,1982-08-04,591,209
449,2005-04-12,197,68
557,1992-07-01,756,440
286,1974-06-15,163,329
150,1974-03-15,931,875
850,1972-08-09,739,879
87,2010-03-23,240,472
795,2013-09-11,19,50
277,1997-05-28,576,6
182,1979-12-07,461,10
785,1970-10-23,404,726
974,1979-11-15,212,712
832,1979-02-12,718,541
22,1989-02-14,307,489
10,2016-12-17,22,179
845,2007-08-27,3,975
373,2007-01-23,391,835
549,1973-06-20,121,487
550,1979-09-04,612,831
567,1984-06-03,386,180
836,2003-11-24,314,383
901,2010-10-23,996,535
393,1985-05-18,506,679
980,1989-12-05,738,912
766,2003-12-19,205,642
69,1980-04-10,388,740
441,2010-03-09,83,111
680,1973-02-22,57,436
990,1988-01-01,376,598
101,1979-10-28,338,391
647,1973-10-23,885,615
975,1977-05-07,4,764
729,2014-12-01,232,255
926,1996-04-21,785,319
965,1973-04-17,791,224
937,2004-09-14,52,983
480,1993-11-11,488,300
509,2010-02-11,984,129
600,1977-02-10,597,838
542,1973-04-05,684,428
332,2012-08-05,527,406
24,2015-05-17,693,481
102,2002-09-17,434,774
329,2000-08-20,112,605
343,2022-02-20,103,366
358,1988-05-21,938,582
328,1999-08-16,467,152
632,2016-11-05,125,798
952,1971-09-10,987,201
634,1994-05-15,746,352
127,1981-02-13,882,877
752,1973-03-30,526,990
439,1985-04-02,959,190
222,2023-11-08,323,203
657,2018-08-11,823,913
516,1983-02-24,804,467
459,2005-06-27,43,181
707,1974-07-22,788,332
764,1985-11-09,54,721
286,2014-05-08,212,992
961,1997-12-07,343,208
734,1977-01-01,175,938
472,1989-12-04,750,532
818,1986-03-03,508,314
687,2012-04-19,790,157
675,2001-03-23,294,973
584,1977-06-25,519,44
497,1994-06-27,940,476
651,1981-11-18,934,784
589,2019-07-25,137,985
520,2012-10-29,490,556
754,1982-05-22,159,121
559,1996-07-05,348,116
673,2000-05-31,757,386
623,2004-11-27,659,731
394,2003-05-27,818,466
351,1995-12-19,531,346
825,1999-05-06,629,15
964,2002-02-27,513,998
475,1979-02-28,610,978
768,2004-07-21,452,262
350,1975-01-18,843,690
747,1991-02-21,651,224
231,2023-02-25,841,39
274,1993-03-05,814,199
660,2019-06-06,878,902
872,1983-02-12,555,812
853,1980-11-29,649,786
557,2016-10-24,567,862
744,1988-02-11,348,134
386,2014-09-06,829,607
217,2002-10-02,805,717
222,1984-09-05,87,541
763,2022-05-12,112,739
752,1990-09-08,72,818
95,1985-04-23,182,355
553,1985-12-26,18,401
183,1972-03-04,964,876
709,1998-04-01,282,365
327,2001-02-12,754,650
142,1983-05-05,861,375
175,1988-03-11,726,622
710,1997-04-13,694,276
264,2018-10-25,277,970
72,1984-05-08,727,224
619,2006-09-24,982,988
594,1978-06-06,312,867
776,1993-12-09,691,310
168,1993-08-31,488,288
976,2023-03-29,532,231
71,1979-09-02,654,908
321,2017-07-14,786,8
501,2015-11-18,395,849
122,2003-03-29,21,470
834,2012-06-03,24,31
387,2018-11-20,107,80
77,1982-12-17,583,707
884,2005-06-26,614,670
158,2002-03-14,591,807
776,1999-02-16,656,461
739,2017-06-23,600,678
357,1982-02-06,14,185
626,2010-05-14,664,867
850,2004-04-29,638,553
322,1991-07-19,553,221
292,1980-07-15,798,393
830,1981-05-04,48,17
525,2010-08-04,138,607
72,1985-06-15,76,963
307,2020-01-13,82,229
93,1998-10-27,704,258
250,1990-12-04,943,567
970,2001-05-20,798,976
726,2014-05-16,176,833
260,1976-04-04,98,91
672,1992-05-01,981,583
157,1975-07-26,743,676
427,1989-03-27,359,225
303,2021-01-17,961,465
3,1986-01-26,466,713
49,1984-08-09,958,841
427,1971-01-25,609,452
809,2008-01-01,835,91
296,1980-08-30,76,923
574,2007-03-15,664,555
686,2004-10-30,248,820
43,1976-05-17,368,571
950,2019-05-31,643,9
858,2009-03-25,833,202
761,1984-04-08,426,515
619,1998-04-01,499,195
765,1979-09-06,305,819
855,2014-05-01,263,829
362,2001-02-03,55,262
749,1987-01-05,486,779
184,2012-04-21,508,916
432,2012-06-10,156,111
152,2001-02-11,161,5
291,1998-03-30,817,136
325,1991-05-15,98,815
179,1978-01-30,132,653
134,2013-10-29,73,679
432,1975-11-19,395,788
11,1970-03-13,114,427
535,2010-09-18,873,164
344,1981-05-19,247,777
127,1997-10-30,125,220
202,1995-07-06,464,167
406,1984-11-04,541,118
492,1974-08-13,105,127
191,1985-01-18,845,875
125,2015-10-17,728,109
227,1987-08-01,599,876
505,1987-04-11,514,847
737,1972-08-19,879,795
721,2022-03-09,168,785
219,2018-05-28,258,148
417,1994-12-19,227,11
583,1971-06-23,860,387
501,1975-02-17,994,769
799,1997-01-25,948,131
225,1999-02-14,707,862
629,1991-04-15,446,448
315,2016-08-12,6,485
559,1987-11-06,868,866
142,1991-10-22,450,173
683,2021-04-13,672,207
36,1975-03-25,994,671
638,1988-03-07,666,740
24,2003-08-13,272,470
543,2002-01-25,1,352
319,1972-11-23,668,43
107,2023-01-07,561,868
913,2012-10-11,353,227
5,1976-04-21,480,27
801,2009-10-23,916,679
68,2001-09-17,214,130
454,2012-05-12,51,719
185,1971-10-20,680,541
12,1999-09-12,486,771
556,1977-01-21,392,902
844,2011-12-22,316,686
42,1980-09-19,925,394
396,1988-05-23,325,160
341,2013-07-23,57,130
474,2020-12-22,895,239
968,2017-06-08,699,923
11,2007-10-14,184,987
174,1986-06-14,530,11
596,1995-10-14,239,772
558,1998-11-17,372,648
707,2013-08-27,663,953
340,2020-01-30,458,311
156,1988-10-23,985,263
735,1990-11-03,233,845
851,1986-10-25,709,979
811,1986-10-15,38,230
202,1974-04-27,437,725
979,1985-04-02,318,728
390,2017-08-13,670,58
405,2017-07-05,208,355
124,1989-08-05,564,246
857,1985-08-11,153,576
514,2017-10-24,856,939
168,2011-11-10,515,355
588,1999-12-12,97,553
941,1998-08-23,794,838
485,2003-08-08,85,363
610,1997-07-02,60,195
368,2001-05-23,427,939
586,1989-11-23,731,606
449,2015-07-14,110,178
23,1981-05-27,673,165
771,1978-12-13,808,279
176,2010-06-20,472,46
704,1993-11-25,424,802
713,2013-03-29,188,291
200,1984-06-05,881,893
934,2020-05-21,503,116
295,1996-01-22,618,632
677,2002-06-30,288,705
286,1972-05-08,84,95
439,1993-03-18,375,170
910,1989-03-04,899,416
531,2016-06-26,57,173
924,2004-12-04,59,622
503,2005-11-23,403,11
308,2002-06-25,142,604
740,1985-05-03,254,504
277,2022-04-19,265,263
206,2018-12-06,863,350
69,2011-07-02,184,37
284,2005-10-09,681,709
563,2015-06-21,244,186
610,2004-03-27,608,985
87,1979-04-04,144,526
841,1981-04-28,692,144
295,1991-03-01,50,912
103,2022-02-03,999,22
967,2017-03-23,588,454
665,1973-10-26,812,871
389,2009-11-12,399,540
754,1984-03-18,437,993
263,2006-01-05,505,621
870,2014-05-23,824,147
651,1972-07-26,236,914
464,2014-04-25,23,262
626,1978-04-14,138,269
180,1992-01-02,577,174
585,2024-04-07,1000,657
10,2001-04-22,922,709
285,1979-04-27,790,449
480,1990-02-20,435,693
441,1976-03-30,473,435
699,1989-04-24,30,416
350,2006-11-11,942,352
394,2021-03-27,553,494
142,2018-06-20,258,402
254,2022-01-14,397,146
279,1982-01-20,219,697
570,2023-04-15,227,625
464,1983-01-21,309,747
667,2011-08-18,84,697
58,1991-04-18,466,159
396,1989-06-18,411,810
502,2012-12-02,297,637
378,2012-09-07,207,811
621,1989-06-29,602,213
559,2006-09-28,498,332
81,1990-12-26,443,345
429,1994-06-22,608,595
671,1972-02-17,762,521
216,1992-03-26,293,5
229,2011-04-16,97,147
368,2010-05-02,95,396
791,2012-08-28,263,348
682,2004-11-30,276,919
314,1983-08-26,920,750
619,2010-12-03,962,283
18,2006-01-06,19,38
969,1998-03-09,200,108
413,1982-12-01,684,178
709,2016-10-28,325,71
268,1999-09-18,757,693
880,2012-01-28,988,472
498,2008-04-26,774,248
25,1973-05-28,312,683
844,1993-05-14,951,614
481,2023-12-01,883,42
501,1983-08-29,558,155
684,1970-05-26,823,401
92,1999-04-24,505,297
44,2012-07-02,751,113
891,2004-08-29,354,640
491,2002-07-22,4,776
981,2017-07-14,50,824
221,2003-01-10,510,745
140,2011-05-27,155,829
1000,2014-05-30,222,829
517,1989-08-04,294,47
481,1989-07-01,541,214
66,2016-08-28,62,860
572,1971-05-12,268,68
68,1982-06-05,239,892
568,1973-12-24,888,646
194,2012-08-14,983,543
429,1981-08-25,945,871
249,1973-01-10,119,406
283,1984-07-12,750,970
472,2010-05-17,173,452
800,2019-04-23,352,212
359,1996-04-14,554,408
158,1986-11-08,297,797
333,2021-09-19,892,537
630,2013-08-21,487,626
781,1975-04-16,535,878
397,1970-06-05,514,602
84,2014-04-13,29,832
930,1985-05-14,591,322
672,1980-09-05,975,61
977,1981-08-10,655,904
647,2014-11-18,670,491
528,1980-07-15,536,153
266,1974-05-14,67,413
739,2018-03-07,943,343
709,2008-09-26,719,911
590,1984-09-10,608,67
869,1981-11-06,888,914
702,2022-01-13,75,603
118,2001-03-13,682,75
205,2012-11-14,660,728
151,2017-09-07,277,301
608,1978-04-06,646,663
147,2020-03-14,496,184
967,1998-11-16,156,338
654,2005-07-08,210,558
544,1982-07-16,733,338
674,1976-08-14,369,609
456,1995-06-20,258,659
420,2001-01-24,514,620
880,1992-05-31,358,332
438,1991-03-04,307,260
864,1992-02-10,978,874
379,2022-03-14,224,761
403,2012-07-20,19,696
145,1982-10-27,576,30
974,2010-01-14,849,981
864,1983-10-18,852,705
479,1973-04-27,598,554
109,1989-05-22,748,73
430,1985-08-12,584,615
842,1980-08-08,93,235
266,2009-09-18,261,833
429,1985-12-31,947,559
50,2006-09-19,185,314
690,2022-10-20,607,461
495,1981-08-03,14,596
47,2017-03-14,734,583
115,1988-07-21,664,604
179,2006-10-13,749,507
696,2019-10-05,850,656
604,2020-09-19,613,814
752,1977-02-24,442,60
242,2000-10-22,975,7
284,2003-11-24,213,607
708,2017-08-02,716,702
420,2016-10-18,520,740
55,1998-07-15,388,728
249,1997-11-05,387,608
461,2024-02-13,744,809
978,1990-03-12,347,496
81,1988-02-16,567,45
562,1990-04-30,883,828
852,2007-02-07,458,517
771,2004-06-14,183,68
179,1970-08-29,308,250
809,1998-06-19,230,566
89,2015-01-05,450,712
309,2003-12-29,51,313
900,1985-10-23,715,393
677,2003-02-11,728,409
918,1974-02-28,68,611
292,2014-12-05,678,743
1,2022-04-06,10,944
139,2000-09-11,252,284
254,1979-10-01,341,810
796,2002-04-20,570,107
515,1975-11-25,286,265
823,2006-04-09,506,696
481,2004-03-09,516,809
299,1988-05-09,987,897
919,1981-10-20,969,827
3,1994-10-26,139,639
21,2009-01-23,516,711
18,2007-05-01,216,488
231,1991-08-05,683,956
572,1988-11-13,929,869
237,1978-12-18,576,293
979,2020-10-17,623,387
524,1975-10-09,276,345
91,1980-02-25,923,777
964,2016-10-12,916,582
803,2009-10-15,387,997
303,2009-07-05,415,515
961,1995-10-05,990,35
337,2002-05-02,593,424
520,1974-04-30,184,332
498,1988-07-04,816,98
928,1999-09-12,620,38
788,2017-01-20,704,192
50,1977-07-21,740,54
977,1983-11-30,116,68
79,2012-08-16,359,926
246,1972-03-07,220,656
973,1976-11-29,743,917
734,2019-01-22,534,158
245,2010-08-30,580,562
635,2008-01-15,99,722
484,1979-10-22,962,948
607,1974-05-13,239,776
716,2022-10-15,140,26
882,2000-12-27,156,189
526,2024-02-28,354,82
304,1981-10-06,100,3
126,2010-08-31,13,488
322,1997-05-04,376,110
427,2020-05-24,101,733
990,2018-09-21,650,869
745,1971-07-09,436,266
549,2019-06-09,660,454
149,1995-09-08,370,375
872,1989-04-25,763,266
205,1994-08-30,788,932
63,1980-05-16,588,881
418,1997-12-30,339,859
791,1994-03-03,850,27
868,1979-02-06,134,833
718,1973-08-03,489,756
928,1973-10-19,789,536
349,2012-07-24,305,194
736,1980-11-13,467,689
443,1978-02-10,370,13
750,2015-10-13,445,699
345,1992-06-23,657,699
183,1970-01-04,772,963
470,1991-01-11,789,61
712,1975-03-25,388,55
776,1995-09-13,584,187
856,1984-02-04,999,139
284,2006-09-23,469,952
42,2000-11-12,922,591
395,2002-09-30,595,218
69,1982-08-15,603,843
283,1974-10-09,172,42
843,1980-04-05,821,512
615,1978-03-26,285,859
634,2021-09-11,49,541
594,1972-01-22,865,298
106,2019-03-28,778,899
14,1996-12-19,940,881
243,2003-06-02,795,101
709,2001-03-13,481,169
10,2022-09-16,680,119
713,2023-01-02,641,939
528,2009-03-28,568,74
750,1995-07-09,738,330
464,1984-06-07,979,42
224,1997-10-02,111,584
844,2002-11-06,293,701
907,1972-04-02,777,490
314,2003-06-18,909,432
759,2008-04-17,538,714
584,1990-09-13,699,111
717,2005-03-26,522,328
273,1970-01-06,430,801
490,2009-06-01,992,261
978,1993-10-31,414,829
949,1992-01-27,814,285
167,1971-02-09,684,349
216,1978-09-10,673,111
739,1971-07-05,651,638
480,1989-06-22,61,859
176,1972-05-20,626,258
914,1994-03-30,818,112
963,2007-04-12,232,730
195,1994-12-30,885,297
491,1976-12-22,443,419
315,1988-10-19,204,794
542,2009-05-09,766,508
215,2007-08-27,911,324
288,2007-02-02,926,681
568,1985-12-30,656,513
345,2002-01-02,633,855
900,2008-12-29,871,509
58,2004-11-03,378,868
376,1999-07-25,693,499
76,1995-01-09,868,227
200,2020-11-05,979,496
541,2003-12-22,2,897
108,1980-08-11,103,488
128,2011-02-11,64,896
551,2001-04-22,258,258
207,2024-01-24,849,557
998,2013-04-26,849,993
656,2008-06-17,613,479
883,1977-11-08,477,241
274,1988-11-16,438,439
84,1995-11-16,537,19
523,2006-06-07,886,679
637,2002-11-10,672,254
775,1992-09-09,472,769
5,1976-09-07,681,27
407,1979-11-08,480,676
296,2008-04-11,81,389
707,2006-07-23,681,893
50,2001-08-10,755,266
198,1991-03-11,602,72
531,2003-08-19,766,793
453,2006-05-03,533,554
237,1975-04-20,363,778
675,1970-11-27,197,702
190,2005-02-09,425,107
212,2007-08-02,834,216
123,1984-01-16,743,925
788,1993-07-05,835,376
803,2010-08-24,622,211
892,2001-12-09,848,878
172,1976-01-16,728,419
896,1981-08-06,219,790
909,2001-07-08,722,268
680,1981-08-02,9,201
313,2005-03-25,969,899
209,1987-01-13,346,921
267,2003-01-21,236,667
591,2001-12-06,561,815
211,2010-07-17,14,424
642,1998-05-17,545,170
293,2007-05-04,350,623
626,2011-11-15,758,646
281,2001-12-05,405,844
136,1987-04-16,60,983
371,1985-03-27,459,17
851,2005-01-16,23,705
977,1997-09-27,519,383
131,1978-12-07,48,517
292,2019-03-27,649,851
518,1989-12-07,879,594
244,1975-03-26,823,336
445,2010-02-08,90,581
3,1997-06-16,616,827
82,1971-08-14,554,590
285,1973-07-17,279,72
801,2017-06-05,694,122
74,2012-01-22,752,344
991,1990-03-24,542,935
216,1970-11-01,600,509
148,2015-11-04,980,335
730,2004-12-20,685,739
400,2004-08-30,137,252
902,2000-04-24,682,699
693,1985-08-02,611,276
295,1999-09-02,236,958
682,2021-01-31,552,978
559,2022-12-04,438,795
847,2005-08-23,449,961
991,2003-05-31,358,670
234,2012-08-24,276,237
597,1981-09-17,458,286
676,1980-04-06,702,952
818,1995-03-24,139,723
992,2020-09-19,893,734
103,1983-10-07,652,842
218,2012-12-31,727,966
906,2022-06-21,151,93
289,1990-06-10,506,717
993,1990-08-16,156,746
81,1988-06-06,200,744
563,1997-09-19,903,736
391,1986-06-07,966,790
383,1998-12-29,429,849
473,1996-01-16,752,216
2,2023-06-08,594,927
146,2009-07-01,547,895
746,1998-11-15,515,46
383,2000-05-26,832,521
241,2019-04-23,579,91
489,1993-07-24,89,199
887,1991-12-05,157,632
904,2023-08-05,202,741
72,2007-12-17,469,780
248,1986-05-03,518,287
398,1999-11-21,762,362
362,1973-06-08,580,541
404,1997-06-11,364,189
290,1971-09-08,662,627
567,2015-08-18,190,766
377,2015-11-11,605,320
818,2003-05-07,225,899
247,2020-01-07,531,944
430,2021-12-03,285,300
14,1983-05-25,214,248
227,1995-10-23,21,676
213,2001-03-10,380,846
614,1981-08-20,174,162
488,1975-10-20,152,763
432,2005-10-27,83,243
785,1974-12-09,281,238
888,1982-04-28,264,189
142,2000-12-07,267,70
709,1996-12-18,656,433
279,1971-03-16,92,860
196,1992-03-02,134,93
906,2012-09-19,340,218
633,2000-10-06,774,349
964,2018-01-19,432,580
685,1998-05-06,605,932
590,2005-01-08,452,842
851,1990-10-29,211,627
977,2005-06-04,836,112
976,2009-08-29,827,238
712,1970-04-13,78,682
94,1974-05-20,245,63
642,1971-03-11,39,591
667,2021-12-08,561,681
232,2009-05-27,936,368
332,2008-05-14,520,978
137,1996-08-04,252,421
761,1996-08-12,465,820
880,1978-02-28,79,285
149,1981-10-03,884,57
190,1991-05-14,446,16
747,2013-08-28,431,274
146,1970-01-25,686,947
327,2020-12-25,435,348
81,1993-07-06,227,591
735,2019-07-05,650,999
979,1980-02-17,319,551
605,2023-09-25,671,139
797,1996-12-12,124,204
236,2014-10-02,338,136
421,1983-03-09,575,559
716,1980-08-31,303,297
613,2000-01-21,585,474
562,2017-10-24,714,166
719,1987-05-05,837,347
224,2015-03-05,849,724
521,1981-03-23,288,102
445,2013-08-31,526,922
21,1985-01-05,705,894
138,2005-10-11,392,705
760,2023-05-20,534,497
337,1984-12-03,565,360
790,2021-06-23,543,829
67,1992-04-16,502,411
494,2010-07-15,947,875
558,2005-07-25,246,631
807,2020-03-04,412,718
888,1972-04-06,937,140
71,1979-04-14,33,151
636,1975-04-18,102,382
963,1989-11-22,591,353
887,1974-12-26,616,529
664,1995-04-20,468,956
543,2020-02-28,575,456
69,1981-08-10,480,760
863,1982-03-01,958,232
11,1972-08-21,713,833
338,2009-02-25,896,111
787,1972-06-30,947,329
355,2012-02-21,709,316
643,1986-01-15,370,662
214,2009-01-09,675,26
324,2001-08-13,581,562
110,1983-08-02,698,406
202,2014-05-23,887,513
938,2012-03-03,336,130
497,1999-07-08,123,818
766,2005-06-08,766,460
160,1987-04-07,180,405
523,1992-03-27,365,399
310,2013-05-02,376,941
196,1972-08-03,601,181
750,1974-01-20,976,763
909,1990-09-18,537,974
544,1983-04-28,351,327
688,2021-03-10,487,441
790,2010-01-07,259,243
783,2002-10-24,810,845
558,2006-05-07,99,238
408,2008-01-19,302,636
819,2001-02-12,150,2
945,2018-03-01,245,772
195,2018-12-13,717,115
529,2010-09-06,13,130
469,1994-08-15,150,285
655,1997-06-30,566,677
18,1982-05-16,148,937
427,2000-06-06,141,915
60,2021-04-11,151,827
534,2019-06-22,426,251
943,1985-01-21,909,242
216,2019-09-01,834,559
27,1999-05-02,851,693
997,1995-11-29,666,884
251,2013-07-13,972,135
227,2010-11-08,498,857
230,1997-04-29,563,616
724,1971-12-25,633,89
